Lebensmittel schuld an europäischer Inflation	Food: Where European inflation slipped up	Food is to blame for European inflation
Heute dürfte es auf der Oberfläche der Venus kaum etwas Lebendiges geben: Die Atmosphäre ist rund hundert Mal dichter als auf der Erde, es herrschen mitunter Temperaturen von 500 Grad.	Today, chances of life existing on the surface of Venus are slim: The atmosphere is about one hundred times denser than on Earth, with temperatures of up to 500 degrees.	Today, there is hardly any living on the surface of Venus: the atmosphere is about a hundred times more dense than on earth, sometimes with temperatures of 500 degrees.
"Die Venus ist vielleicht der Teufelszwilling der Erde, aber sie ist ein Zwilling", sagte Russel.	"Venus may be a devilish twin of Earth, but a twin it is,"Russel said.	'Venus may be the earth's vicious circle, but it is a twin ', said Russel.
Warum die Venus, die der Erde in Masse und Größe so ähnlich ist, eine so gänzlich andere Entwicklung eingeschlagen hat, ist die Grundfrage der Esa-Mission.	The key question of the ESA mission is why Venus, which is so similar to Earth in terms of mass and size, has undergone such a fundamentally different evolution.	The basic issue of the Esai mission is why Venus, which is so similar to the planet in terms of quantity and size, has taken such a completely different turn.
Der Start von "Venus Express" im November 2005 war ein Meilenstein für die Venus-Forschung, da seit Anfang der neunziger Jahre keine Sonde mehr eigens zur Erforschung dieses Planeten unterwegs war.	The launch of "Venus Express"in November 2005 marked a milestone for Venus research. There had been no probe specifically designed to explore the planet since the early nineties.	The launch of Venus Express in November 2005 was a milestone for Venus research, as since the early 1990s, no sun had been specifically deployed to research this planet.
Die neuesten Forschungsergebnisse, die nun in mehreren "Nature"-Artikeln vorgestellt werden, unterstreichen nach Ansicht der Forscher nicht nur die Einzigartigkeit der Venus innerhalb des Sonnensystems.	The latest research results are now being presented in several "Nature"articles. According to the scientists, they do not just emphasize the uniqueness of Venus in the solar system.	The latest research results, which are now presented in various articles' Nature ', are not only, according to researchers, indicative of the uniqueness of Venus within the solar system.
"Sie zeigen auch, dass die Gemeinsamkeiten unseres Nachbarplaneten mit der Erde größer sind als zunächst angenommen", teilt die Esa mit.	"They also show that the similarities between our neighbouring planet and Earth are greater than initially anticipated,"ESA reports.	'They also show that the common ground of our neighbouring planet is greater than it was initially thought ',' tells the essa.
So fanden die Forscher neben dem bereits bekannten Wirbelwind am Nordpol auch einen Wolkenstrudel am Südpol, der sich noch wesentlich schneller dreht.	In addition to the known whirlwind at the North Pole, for instance, the researchers discovered a whirl of clouds at the South Pole, spinning at a significantly higher velocity.	Thus, in addition to the already known verbiage on the North Pole, researchers found a cloud bullet on the southern Pole that is turning much faster.
Das Phänomen erinnert an Luftströme auf der irdischen Winterhemisphäre, schreibt ein Forscherteam um Giuseppe Piccioni vom italienischen Istituto di Astrofisica Spaziale e Fisica Cosmica.	The phenomenon is reminiscent of air currents in Earth’s winter hemisphere, writes a research team of the Italian Istituto di Astrofisica Spaziale e Fisica Cosmica.	The phenomenon is reminiscent of air flows in the Irish winter hemisphere, according to a research team around Giuseppe Piccioni from the Italian Istituto di Astrofisica Spaziale e Fisica Cosmica.
Der zweitinnerste Planet des Sonnensystems hat fast dieselbe Masse wie die Erde und ist mit einem Durchmesser von 12.100 Kilometern fast genauso groß.	The mass of the solar system’s second-innermost planet is almost the same as that of Earth, as is its size, with a diameter of 12,100 kilometres.	The second most internal planet of the solar system is almost the same mass as the earth and is almost as big, with a diameter of 12.100 kilometres.
Der auch als Morgen- oder Abendstern bezeichnete Planet kreist in knapp 225 Tagen um die Sonne.	The planet, which is also known as morning star or evening star, orbits the sun in just under 225 days.	The planet, also known as mortem or aboard, will be surrounded by the sun in less than 225 days.
Er dreht sich aber viel langsamer um sich selbst: Ein Venustag dauert 243 Erdentage.	Its rotation is much slower, however: One Venus day equals 243 Earth days.	But it is slower about itself: a Venice Day takes 243 days of earth.
Obwohl die Venus mit Oberflächentemperaturen von 460 Grad Celsius und einem Druck von 92 bar kaum an die Erde erinnert, gehen Wissenschaftler davon aus, dass beide Planeten unter ganz ähnlichen Voraussetzungen entstanden sind.	With surface temperatures of 460 degrees Celsius and a pressure of 92 bar, Venus barely resembles Earth. Nonetheless, scientists suspect that both planets developed under very similar conditions.	Although Venus, with 460 degrees of celsius and 92 degrees of pressure, hardly ever reminds the world, scientists estimate that both planets have been created under very similar conditions.
Auf beiden sammelte sich Wasser an, das auf der Erde in Ozeanen verblieb, auf der Venus aber in den Weltraum verloren ging.	Water accumulated on both planets. On Earth it remained in oceans, whereas on Venus it escaped into space.	Both of them brought together water which was still in oceans on the planet but lost in Venus.
Und während Kohlendioxid auf der Erde in Karbonatgesteinen fixiert ist, macht es auf der Venus den Großteil der Atmosphäre aus.	And while on Earth carbon dioxide is focused in carbonate rock, on Venus it makes up the bulk of the atmosphere.	While carbon dioxide is fixed on earth in carbonus confessions, it is on Venus that the majority of the atmosphere is.
Köhler verteidigt Merkels Treffen mit dem Dalai Lama	Köhler Defends Merkel’s Meeting with Dalai Lama	Köhler defends Merkel's meeting with the Dalai Lama
Bundespräsident Köhler verlangt ein Ende des Parteienstreits um den Empfang des Dalai Lama im Kanzleramt.	German Federal President Köhler is demanding an end to the party dispute on the Dalai Lama’s formal reception at the Federal Chancellery.	President Köhler is calling for an end to the party dispute for the Dalai Lama to be received by the Chancellor.
Indirekt kritisierte er die SPD wegen ihrer Attacken auf die Kanzlerin nach dem Treffen im September.	He indirectly criticized the Social Democratic Party because of its attacks on the chancellor after September’s meeting.	He implicitly criticised the SPD for its attacks on the Chancellor after the September meeting.
Bundespräsident Horst Köhler sorgt sich um das Ansehen Deutschlands und hat die große Koalition aufgefordert, den Streit um den Empfang des Dalai Lama zu beenden.	Worried about Germany’s reputation, German Federal President Horst Köhler asked the grand coalition to end its dispute on the Dalai Lama’s formal reception.	President Horst Köhler is concerned about Germany's standing and has called on the grand coalition to end the dispute over the reception of the Dalai Lama.
"Wir sollten der Außenwelt in dieser Frage keine gespaltene Nation präsentieren", sagte Köhler dem Handelsblatt.	"We should not face the world as a nation that is divided on this issue,"Köhler told the trade journal "Handelsblatt."	'We should not present a divided nation to the outside world on this issue ', said Köhler in the Handelsblatt.
Zugleich signalisierte Köhler Verständnis für den Empfang des Dalai Lama durch Bundeskanzlerin Angela Merkel (CDU) im September.	At the same time, Köhler signalled his appreciation of the Dalai Lama’s formal reception by Federal Chancellor Angela Merkel, a Christian Democrat, in September.	At the same time, the Köhler showed understanding for the reception given by Chancellor Angela Merkel (CDU) in September to the Dalai Lama.
"Die Menschenrechte haben für mich universelle Gültigkeit, auch wenn ich Respekt vor der Unterschiedlichkeit der Kulturen habe", sagte Köhler.	"I consider human rights to be universal, even though I respect the diversity of cultures,"Köhler said.	'Human rights are universal for me, although I respect the diversity of cultures', said Köhler.
Jeder wisse, dass Deutschland in der Außenpolitik sensible Balancen wahren müsse, betonte der Bundespräsident, nahm aber Merkel vor dem Vorwurf in Schutz, sie betreibe eine neue China-Politik.	The President stressed that everyone was aware of Germany’s obligation to maintain delicate balances in foreign affairs. However, he defended Merkel against charges of pursuing a new policy with reference to China.	Everyone knew that Germany had to maintain delicate balances in foreign policy, the Federal President stressed, but protected Merkel from the accusation that she had a new China policy.
"Die Bundeskanzlerin hat nicht Abstand genommen von der traditionellen Ein-China-Politik.	"The Chancellor has not departed from our traditional policy towards China.	'The Chancellor has not distanced herself from the traditional one-China policy.
Das weiß auch China", sagte Köhler.	China is aware of this, too,"Köhler said.	China knows that too, 'said Köhler.
Außenminister Frank-Walter Steinmeier (SPD) hatte indirekt Unmut über den Empfang des Dalai Lama erkennen lassen und war deshalb aus Reihen der Union angegriffen worden.	Secretary of State Frank-Walter Steinmeier, a Social Democrat, had indirectly expressed displeasure at the Dalai Lama’s formal reception, leading to attacks from the ranks of the Christian Democratic Union.	Foreign Minister Frank-Walter Steinmeier (SPD) had indirectly expressed displeasure at the reception of the Dalai Lama and had therefore been attacked from within the Union.
Steinmeier hatte unter anderem die "Schaufensterpolitik" der Union in der Außenpolitik beklagt.	Among other things, Steinmeier had criticized what he called the Union’s "showcase"mentality in foreign affairs.	One of the things that Mr Steinmeier complained about was the Union's' policy of slapping the wheels' in foreign policy.
Nach dem Empfang des Dalai Lamas im Kanzleramt kam es zu heftigen Irritationen im deutsch-chinesischen Verhältnis.	In the wake of the Dalai Lama’s formal reception at the Federal Chancellery, there had been severe discordances in German-Chinese relations.	Following the reception of the Dalai Lama in the Chancellery, there was intense irritation in the German-Chinese relationship.
So hat die chinesische Führung nicht nur den deutschen Finanzminister Peer Steinbrück (SPD) ausgeladen, sondern nach Informationen des SPIEGEL auch den sogenannten Strategischen Dialog der Außenministerien beider Länder eingefroren.	For instance, the Chinese government not only cancelled the inviation to German Secretary of the Treasury Peer Steinbrück, a Social Democrat; according to news magazine "Der Spiegel,"it also suspended the so-called strategically dialogue between the two countries’ State Departments.	The Chinese leadership not only invited the German Finance Minister Peer Steinbrück (SPD), but also, according to information from the SPIEGEL, frozen the so-called strategic dialogue of the foreign ministries of both countries.
Chinas Regierungschef Wen Jiabao hat Bundeskanzlerin Angela Merkel jetzt aufgefordert, den Empfang des Dalai Lamas als Fehler einzugestehen.	China’s head of government Wen Jiabao has now asked German Federal Chancellor Angela Merkel to concede that the Dalai Lama’s formal reception was a mistake.	China's leader Wen Jiabao has now called on Chancellor Angela Merkel to admit the reception of the Dalai Lama as a mistake.
China lehne es ab, wenn europäische Politiker in offizieller Funktion den religiösen Führer der Tibeter empfangen, bekräftigte Wen Jiabao die chinesische Position.	Stating China’s disapproval of European officials receiving the spiritual leader of the Tibetans, Wen Jiabao underlined the Chinese position.	China refuses to accept official European politicians welcoming the religious leader of the Tibetans, Wen Jiabao reaffirmed the Chinese position.
Die Taten und Worte des Dalai Lamas zeigten, dass er versuche, Tibet und die weitere tibetische Region, die auch andere heutige Provinzen umfasst, von China abzuspalten.	The Dalai Lama’s actions and words showed his intention to separate Tibet and the broader Tibetan region, which also includes other present-day provinces, from China, Wen Jiabao said.	The actions and words of the Dalai Lamas showed that he is trying to divide Tibet and the wider Tibetan region, which also includes other present-day provinces, from China.
Schäuble warnt vor Krawallen wie in Frankreich	Schäuble Warns of "French"Riots in Germany	Schäuble warns against riots, as in France
Straßenschlachten mit der Polizei, Schüsse, brennende Autos: Wolfgang Schäuble warnt vor Krawallen wie in Frankreich.	Clashes with the police, shots fired, burning cars: Wolfgang Schäuble warns of riots similar to those in France.	street battles involving the police, shooting, burning cars: Wolfgang Schäuble warns against riots, as in France.
Es müsse alles getan werden, damit sich soziale Unzufriedenheit in Deutschland nicht in Gewalt auf der Straße entlade, forderte der Bundesinnenminister.	Any steps necessary to prevent social discontent in Germany from escalating in public displays of violence needed to be taken, the German Federal Secretary of the Interior demanded.	Every effort should be made to prevent social discontent in Germany from degenerating into violence on the streets, as the Federal Minister of the Interior has requested.
Barrikaden brannten, Randalierer schossen mit Schrotflinten auf die Polizei: Nach den schweren Jugendkrawallen in Frankreich fürchtet Bundesinnenminister Wolfgang Schäuble (CDU) in Deutschland eine ähnliche Entwicklung.	Barricades were set aflame and rioters fired shotguns at the police: In the wake of the massive youth riots in France, German Federal Secretary of the Interior Wolfgang Schäuble, of the Christian Democratic Union, fears similar developments in Germany.	Barrique hoots burned the police with hooligans shot at the police with scrappage liners: following the severe youth riots in France, the Federal Minister for the Interior, Wolfgang Schäuble (CDU), feared a similar development in Germany.
"Wir müssen darauf achten, dass sich nicht auch bei uns sozialer Sprengstoff aufbaut und in Gewalt entlädt.	"We have to prevent the rise of social tensions which may escalate in violence.	'We must ensure that we do not also build up social explosives in our own countries and that we do not expose them to violence.
Wir müssen das ernst nehmen", sagte er der in Hannover erscheinenden "Neuen Presse".	We need to take this seriously,"he told the Hannover-based daily newspaper "Neue Presse."	We must take it seriously, as he said in the New Press that appeared in Hanover.
Nicht jeder junge Mensch komme mit der schnellen Veränderung der gesellschaftlichen Wirklichkeit zurecht.	Some young adults were finding it difficult to adjust to a social reality that is changing ever more quickly, he said.	Not every young person can cope with the rapid change in social reality.
Bund, Länder und Kommunen arbeiteten bereits mit Nachdruck daran, Probleme abzubauen, sagte Schäuble.	Federal, state and local governments were already hard at work on the issues, said Schäuble.	Bands, countries and local authorities have already worked hard to reduce problems, as the Schäuble has said.
Das betreffe nicht nur die Integration von Migranten.	These were not limited to the integration of migrants, he added.	This is not only about the integration of migrants.
"Vom Integrationsgipfel bis zur Islamkonferenz zeigt das bereits erste Erfolge."	"Between the German Summit for Integration and the Conference on German-Islamic Affairs, we are beginning to see results."	'From the integration summit to the Islamic conference, this is already beginning to show signs of success'.
Für Entwarnung sei es jedoch zu früh.	But it was too early to sound the all-clear, he said.	However, it is too early to give a warning.
Schäuble wies zugleich darauf hin, dass es in deutschen Vorstädten nicht städtebauliche und soziologische Probleme wie in Frankreich gebe.	At the same time, Schäuble pointed out that German suburbs were not suffering from the same urban-construction and sociological issues as their French counterparts.	Schäuble also pointed out that there were no urban and sociological problems in German suburbs, as in France.
In nördlichen Vororten von Paris hatten sich Jugendliche in den vergangenen Nächten schwere Straßenschlachten mit der Polizei geliefert.	In suburbs north of Paris, there had been violent clashes between youths and the police in recent nights.	Young people had engaged in serious street battles with the police in the northern suburbs of Paris.
Auch in Toulouse brannten Autos und öffentliche Gebäude.	Cars and public buildings were set on fire in Toulouse, as well.	Cars and public buildings were also burnt in Toulouse.
Größere Integrationsbemühungen der Bundesregierung forderte indes der Vorsitzende der Türkischen Gemeinde in Deutschland, Kenan Kolat.	Kenan Kolat, Chairman of the Community of Turks in Germany, is asking the German Federal Government to step up its integration efforts, meanwhile.	However, the Federal Government's President of the Turkish community in Germany, Kenan Kolat, called for greater integration efforts.
Angesichts der Krawalle in Frankreich warnte Kolat vor "Nachahmungseffekten".	In light of the riots in France, Kolat warned of "copycat effects."	In the face of the riots in France, colat warned of 'imitation effects'.
Die Lage in Deutschland sei zwar nicht so brisant wie in Frankreich.	The situation in Germany was not as urgent as in France, he said.	The situation in Germany is not as critical as in France.
Es bestehe aber dennoch Handlungsbedarf.	But there was still a need for action.	However, we still need to act.
Kolat verwies darauf, dass die Arbeitslosenquote bei Jugendlichen mit Migrationshintergrund unter 25 Jahren "überdurchschnittlich hoch" sei.	The unemployment rate among youths with a migrational background below the age of 25 was "above average,"Kolat noted.	Kolat pointed out that the unemployment rate among young people of a migrant background under 25 was' above average '.
Es müsse vor allem für mehr Ausbildungsplätze gesorgt werden.	Above all, more vocational training positions needed to be provided.	More training places should be provided.
Kolat betonte: "Wir müssen den Jugendlichen eine Perspektive geben."	"We need to provide options to these youths,"Kolat emphasized.	Mr Kolat said: 'We must give young people a future'.
Der Vorsitzende der Türkischen Gemeinde fügte aber hinzu, in Deutschland finde mehr als in Frankreich "eine soziale Kontrolle in den Familien statt".	However, the Chairman of the Community of Turks added that "a social supervision in families"applied in Germany more than it did in France.	The President of the Turkish community added, however, that in Germany, more than in France, 'social control in the family takes place'.
Viele Jugendliche mit Migrationshintergrund wollten zudem nicht das zerstören, was ihre Eltern hier aufgebaut haben.	In addition, many youths did not want to destroy what their parents had built for themselves in Germany, he said.	Many young people of a migrant background did not want to destroy what their parents built up here.
Kolat mahnte: "Aber trotzdem müssen wir aufpassen."	"We still need to be careful,"Kolat urged.	Kolat warned: 'but we must be careful'.
Man müsse den Jugendlichen "schnell die Möglichkeit geben, an Arbeit und Ausbildung zu partizipieren".	Youths needed to be "given the opportunity to participate in labour and education."	We must 'give young people the opportunity to participate in work and training'.
Unterdessen blieb es in der Nacht in dem Pariser Vorort Villiers-le-Bel weitgehend ruhig.	In the Parisian suburb Villiers-le-Bel, the night remained quiet, meanwhile.	Meanwhile, during the night, the suburb of Villiers-le-Bel in Paris remained largely quiet.
Hundertschaften der Polizei waren im Einsatz, ein Hubschrauber überflog mit Scheinwerfern das Gebiet.	Hundreds of policemen were on alert, and a helicopter circled the area with searchlights.	Hundreds of police officers were in operation, a helicopter overflying the area with headlights.
Die zuständigen Behörden meldeten drei Festnahmen sowie ein paar brennende Mülleimer und Autos.	The responsible authorities reported three arrests as well as a number of burning garbage cans and cars.	The competent authorities reported three arrests and a few burning rubbish dustbin and cars.
Seit dem Vortag sorgt ein Aufgebot von rund 1000 Sicherheitskräften für Ruhe.	Since the day before, a security force of 1000 has been keeping the peace.	Since the previous day, a rental of around 1 000 security forces has brought peace.
Die Polizei werde so lange durchgreifen, wie es nötig sei, kündigte Innenministerin Michelle Alliot-Marie nach einem Besuch in der Vorstadt an.	After visiting the suburb, Secretary of the Interior Michelle Alliot-Marie announced that police crackdowns would continue as long as necessary.	The police will take action as long as necessary, the Home Secretary Michelle Alliot-Marie announced that she would go to the suburb.
In der Nacht auf Dienstag waren bei Krawallen in Villiers-le-Bel rund 80 Polizisten verletzt worden.	During the night of Monday, about 80 policemen were harmed in riots.	During the night of Tuesday, some 80 police officers were injured at riots in Villiers-le-Bel.
In der Folgenacht griffen die Unruhen auf Toulouse über.	In the following night, the unrest encroached upon Toulouse.	The consequence was the unrest in Toulouse.
Die Krawalle entzündeten sich an einem Verkehrsunfall, bei dem am Sonntag zwei Jugendliche ums Leben gekommen waren.	The riots were ignited by a traffic accident which had caused the deaths of two youths on Sunday.	The riots broke out in a road accident in which two young people died on Sunday.
Nach ersten Erkenntnissen der Staatsanwaltschaft trägt die Polizei keine Schuld am Tod der Jugendlichen.	According to an initial investigation by the Office of the District Attorney, the police were not to blame in the two youths’ deaths.	According to the preliminary findings of the Public Prosecutor, the police are not to blame for the deaths of young people.
Im Reich von Angela Wolke	In the Realm of Angela in the Sky	Angela Wolke Empire
Der realitätsferne Auftritt der Kanzlerin dokumentiert, dass die Koalition inhaltlich am Ende ist - und dass von ihr selbst nichts mehr zu erwarten ist.	Divorced from reality, the Chancellor’s performance documents that the coalition is at the end of its rope conceptually – and that expectations in herself have to be scaled down to nil.	The Chancellor's unrealistic performance demonstrates that the coalition is at the end of the day in terms of content - and that nothing can be expected of it.
In welchem Land lebt diese Bundeskanzlerin eigentlich?	What country, exactly, does the Federal Chancellor live in?	Which country does this Chancellor actually live in?
Nach ihrem trostlosen Auftritt in der Generaldebatte des Bundestags, der wurschtig und inhaltsarm war, muss man sagen: nicht hier - nicht in dem Land, das von ihr endlich regiert werden müsste.	After her desolate performance at the Bundestag’s general debate, which was cloddy and bereft of substance, the verdict is: not this one – not in the country she ought to be governing.	After her dismal appearance in the general debate of the Bundestag, which was both muddled and poor in content, it has to be said that it is not here - not in the country that it should finally govern.
Den Vorwurf, dass sie sich zu sehr auf die Außenpolitik konzentriere, hat Angela Merkel mit einem arg überheblichen Satz zurückgewiesen.	The charge that she concentrated too much on foreign affairs, she dismissed with a terribly presumptuous statement.	The accusation that it focuses too much on foreign policy has been rejected by Angela Merkel with a somewhat arrogant phrase.
Das sei provinziell, sagte sie und zeigte damit erst, dass sie nicht begreifen will, worum es den Kritikern geht.	It was provincial, she said, thereby demonstrating her refusal to grasp the critics’ meaning.	That is a parochial state, she said, and it showed that she did not want to understand what the critics are talking about.
Im Bundestag hat sie für alle erkennbar dokumentiert, wie sehr deren Vorwurf zutrifft.	At the Bundestag, she documented, in plain sight of everyone, how right on target their criticisms are.	In the Bundestag, it showed everyone how true their accusations are.
Da war weder konkretes Interesse noch gar ein Gefühl zu spüren für die Probleme im Land.	Neither a tangible concern for, nor any sense of the country’s issues could be detected.	There was no concrete interest, nor any feeling at all, of the problems in the country.
Stattdessen präsentierte sich Angela Wolke: eine abgehobene Politikerin, die in die Außenpolitik flieht und selbst dort im Ungefähren bleibt.	Instead, she presented herself as Angela in the Sky: a detached politician who takes refuge in foreign affairs, but remains noncommittal even there.	Instead, Angela Wolke stood up: a deposed politician who is fleeing foreign policy and who is remaining in the safe environment even there.
Beispiel Klimaschutz: Da lobt sie sich ungebremst für die Beschlüsse von Heiligendamm, sagt aber nicht, wie hierzulande die Klimaziele erreicht werden sollen.	Take, for instance, climate protection: She excessively blows her own horn on the resolutions of Heiligendamm, but does not share how climate protection objectives are to be achieved in this country.	Take the example of climate protection: it is openly praising the decisions of Heiligendamm, but it does not say how far the climate targets should be achieved.
Überhaupt, das Selbstlob - so viel Unbescheidenheit hätte sich die CDU-Chefin noch vor zwei Jahren versagt.	And anyway, the self-praise – two years ago, the leader of the Christian Democratic Union would have denied herself this much immodesty.	In fact, self-praise - so much modesty would have been the failure of the CDU leaders two years ago.
Nun klammert sie sich an die Floskel, dass der Aufschwung bei den Menschen ankomme.	Now she is clinging to the slogan that the economic boom has arrived at people’s doorsteps.	Now it is clinging to the rhetoric that the people are starting to recover.
Damit beschädigt sie ihr Image als Pragmatikerin, die Probleme löst, anstatt die Welt schönzureden.	In doing so, she damages her reputation as a pragmatist who solves problems, instead of sugar-coating the truth.	In so doing, she is damaging her image as a pragmatist who solves problems instead of making the world look good.
Aber im Reich von Angela Wolke sind innenpolitische Probleme eine Randerscheinung.	But in the realm of Angela in the Sky, domestic issues are of marginal importance.	But in Angela Wolke's empire, domestic problems are a marginal phenomenon.
Kinderarmut und die Sorgen der Niedrigverdiener?	Child poverty and the worries of low-wage earners?	Child poverty and the concerns of low earners?
Ein paar Nebensätze hat sie dafür übrig.	A few asides are all she has time for on that.	She has a few additional points for this.
Dabei ist bezeichnend, wie oft sie sich verspricht, als es um den Kinderzuschlag geht.	It is telling how often she misspeaks when it comes to children’s allowance.	It is significant how much it promises to do with the addition of children.
Drei Anläufe braucht Merkel da, um einen halbwegs geraden Satz herauszubringen.	At this point in her address, Merkel needs three attempts to produce a reasonably serviceable sentence.	Chancellor Merkel needs three courses of action to get a half-way sentence.
Sie stolpert wie auf fremdem Terrain, wenn es konkret wird.	As soon as things become concrete, she stumbles as if on unfamiliar ground.	It will stumbling as if it were on a foreign level when it comes to concrete action.
Abteilung Attacke	Attack Department	Attacke section
In der YouTube-Debatte der republikanischen Präsidentschaftskandidaten liefern sich die beiden Favoriten Rudy Giuliani und Mitt Romney einen harten Schlagabtausch - und müssen nun einen Außenseiterkandidaten fürchten.	In the YouTube debate of the Republican presidential candidates, favourites Rudy Giuliani and Mitt Romney are engaged in a tough exchange of blows – and now have to fear an underdog candidate.	In the YouTube debate of Republican presidential candidates, the two Faites Rudy Giuliani and Mitt Romney are engaged in a tough battle - and are now afraid of an outsider's data.
Die Anspannung der Kandidaten entlädt sich schon beim ersten Thema.	The candidates’ tension is finding release as early as at the first subject.	The tense of the candidates is already apparent from the first topic.
Er habe New York zu einem "Zufluchtsort für illegale Einwanderer" gemacht, wirft Mitt Romney seinen Kontrahenten Rudy Giuliani vor.	Mitt Romney accused his opponent Rudy Giuliani of turning New York into a "safe haven for illegal immigrants."	He has made New York a 'refuge for illegal immigrants', and Mitt Romney accuses his opponent Rudy Giuliani.
Dieser kontert seinerseits mit schweren Vorwürfen: "Ich würde sagen, sein eigenes Haus war ein Hafen für Illegale", entgegnet Giuliani und wirft dem ehemalige Gouverneur von Massachusetts vor, privat Einwanderer ohne Papiere beschäftigt zu haben.	The latter counters with bold allegations of his own: "I would say his own home was a safe haven for illegals,"Giuliani retorts, charging the former Governor of Massachusetts with having privately employed immigrants without paperwork.	He, for his part, has been full of serious accusations: 'I would say his own house was a port for illegal immigrants', he has said Giuliani and accuses the former Governor of Massachusetts of having employed privately undocumented immigrants.
Die Kandidaten blasen zur Attacke: Weil die republikanische Basis weiterhin keinen klaren Favoriten hat, nutzen die acht Präsidentschaftsanwärter die Debatte auf CNN vor allem, um ihre Widersacher zu diskreditieren.	The candidates mount the attack: Because the Republican base still lacks a clear favourite, the eight presidential contenders use the CNN debate, first and foremost, to discredit their opponents.	The candidates are blaming: because the Republican base still does not have a clear fait, the eight presidential candidates are using the CNN debate mainly to discredit its opponents.
Die selbstgedrehten 30-Sekunden-Videos, die Internetnutzer via YouTube eingesandt haben, sind kaum mehr als Stichwortgeber.	The self-made 30-second videos submitted via YouTube by internet users contribute little more than cues.	The self-manipulated 30-hour videos sent by Internet users via YouTube are hardly more than picking pools.
"Mit dieser Art von Isolationismus haben wir Hitler an die Macht kommen lassen", wirft John McCain seinem Kontrahenten Ron Paul vor, der als einziger in der Runde einen sofortigen Abzug aus dem Irak fordert.	"This is the kind of isolationism which allowed Hitler to rise to power,"John McCain accuses opponent Ron Paul, the only one in the group demanding an instant withdrawal from Iraq.	'We have allowed Hitler to power with this kind of isolationism ', John McCain accuses his opponent Ron Paul, the only person in the round who is demanding immediate withdrawal from Iraq.
Auch Romney bekommt vom Vietnam-Veteranen kräftig die Leviten gelesen, als er sich weigert, das so genannte "Waterboarding", eine Verhörmethode, bei der Ertränken simuliert wird, als Folter zu verurteilen.	Romney, too, is sharply reprimanded by the Vietnam veteran when he refuses to denounce the so-called "waterboarding,"an interrogation technique which simulates drowning, as torture.	Romney, too, is heavily reading the levitas from the Vietnamese veteran, refusing to condemn as torture what is known as' waterboarding ', a method of interrogation that simulates drowning.
Dass die wichtigen Themen der Kampagne inzwischen jedoch jenseits von Irakkrieg und Folterdebatten liegen, zeigen die Reaktionen des Saalpublikums in St. Petersburg in Floridas.	However, audience reactions in St. Petersburg, Florida, show that the important issues of the campaign are far off from the Iraq War and the torture debates.	However, the reactions of the Saalysts in St Petersburg in Florida show that the campaign's important issues are now beyond Iraq's war and torture debates.
Wann immer konservative Werte gepriesen und künftige Steuererhöhungen abgelehnt werden, brandet im Auditorium Beifall auf.	Whenever conservative values are praised and the notion of future tax increases is rejected, there is applause from the auditorium.	Whenever conservative values are extolled and future tax increases rejected, there is applause in the auditorium.
Dabei zeigt sich einmal mehr, wo die Schwächen der beiden Favoriten liegen.	In the process, the two favourites’ weak spots once more become apparent.	This shows once again where the weaknesses of the two flaws lie.
"Ich habe mich damals geirrt", erklärt Romney zerknirscht und leistet vor Basis und Fernsehpublikum dafür Abbitte, dass er 1994 noch zu den Abtreibungsbefürwortern gehörte.	"I was wrong back then,"a remorseful Romney announces, apologizing to base and audience for having endorsed abortion as recently as in 1994.	'I was wrong then ', Romney sneaked in tears and makes a plea to the public at grassroots level for being one of the pro-abortion supporters in 1994.
Giuliani hingegen kommt ins Schlingern, als er nach seiner Meinung zur wörtlichen Auslegung der Bibel gefragt wird.	Giuliani faltered when asked about his opinion on taking the Bible literally, meanwhile.	Giuliani, on the other hand, is a fool when he is asked his opinion on the sacrosanct interpretation of the Bible.
Musharraf regiert erstmals in Zivil	Musharraf Begins First Civilian Reign	Musharraf is in princess for the first time.
Einen Tag nach seinem Rücktritt als Armeechef ist der pakistanische Machthaber Musharraf als Präsident vereidigt worden.	One day after resigning as army chief, Pakistani ruler Musharraf was sworn in as president.	The day after his resignation as army chief, the Pakistani leader, Mr Musharraf, was sworn in as President.
Damit enden acht Jahre Militärherrschaft in Pakistan.	Thus, eight years of military rule in Pakistan came to an end.	This will put an end to eight years of military rule in Pakistan.
Pakistans Präsident Pervez Musharraf ist am Donnerstag für eine weitere fünfjährige Amtszeit vereidigt worden.	On Thursday, President Pervez Musharraf was sworn in for another five-year term in office.	Pakistan's President Pervez Musharraf was sworn in on Thursday for another five-year term.
Das pakistanische Fernsehen übertrug die Zeremonie im Präsidentenpalast der Hauptstadt Islamabad live.	The ceremony at the presidential palace in the capital Islamabad was broadcast live on Pakistani television.	Pakistani television passed the ceremony in the presidential palace of the capital Islamabad live.
Musharraf schwor, die Verfassung zu achten und zum Wohle der Nation zu handeln.	Musharraf vowed to honour the constitution and to act towards the good of the nation.	Musharraf hailed to respect the Constitution and to act for the good of the nation.
Am Mittwoch hatte er sein Amt als Armeechef an seinen Vertrauten Ashfaq Kiyani übergeben und sich damit internationalem Druck insbesondere aus den USA gebeugt.	On Wednesday, he had consigned the office of army chief to his confidant Ashfaq Kiyani, yielding to international pressure, by the US in particular.	On Wednesday, he had handed over his position as army chief to his confidants Ashfaq Kiyani, thereby yielding to international pressure, particularly from the USA.
